company,price_box,price_piece,pieces_per_box,weight_per_piece,item
GSF,400.0,-,1000 ظرف,7 جرام,كاتشب ظرف
GSF,1780.0,445,4 قطع,3.4 كجم,صوص مايونيز حار
GSF,2520.0,630,4 قطع,3.4 كجم,صوص مايونيز فلفل أسود
GSF,2220.0,555,4 قطع,3.2 كجم,صوص الرانش
GSF,1800.0,450,4 قطع,3.2 كجم,صوص مسطردة بالعسل
GSF,2320.0,580,4 قطع,3.4 كجم,صوص البافلو الحار
GSF,2200.0,550,4 قطع,3.4 كجم,صوص ديناميت
GSF,1560.0,390,4 قطع,3.4 كجم,صوص سويت شيللي
GSF,1980.0,495,4 قطع,3.4 كجم,صوص ألف جزيرة
GSF,2010.0,670,3 قطع,4 كجم,صوص تشيز ديب
GSF,1875.0,625,3 قطع,4 كجم,دريسنج سيزر
GSF,1545.0,515,3 قطع,4 كجم,دريسنج كول سلو
GSF,1080.0,-,جالون,12 كجم,صوص سبايسي تايجر
GSF,2160.0,180,12 قطعة,1 كجم,توبنج (شيكولاتة – كراميل – فراولة)
Heinz,440.0,-,1000 ظرف,7 جرام,كاتشب ظرف هاينز
Heinz,730.0,30.42,24 قطعة,195 جرام,كاتشب زجاج هاينز
Heinz,462.5,-,جالون,10 كجم,كاتشب كاتشي
Heinz,842.32,210.58,4 قطع,4.25 كجم,كاتشب كاتشي
Heinz,1350.0,337.5,4 قطع,3 كجم,مايونيز هاينز
Heinz,835.0,34.79,24 قطعة,165 جرام,هوت صوص زجاج هاينز
Heinz,154.76,-,جالون,3.9 كجم,هوت صوص هاينز
Heinz,1153.36,288.34,4 قطع,4.25 كجم,صوص الباربكيو هاينز
Heinz,289.33,-,جالون,3.9 كجم,مسطردة هاينز
Heinz,368.42,30.7,12 قطعة,360 جرام,صلصة هاينز
Heinz,187.83,15.65,12 قطعة,1 لتر,خل أبيض هاينز
Ilou,355.87,-,جالون,10 كجم,كاتشب
Ilou,379.73,-,1000 قطعة,7 جرام,كاتشب ظرف
Ilou,372.8,15.53,24 قطعة,200 جرام,كاتشب اسكويز 200 جرام
Ilou,900.86,225.22,4 قطع,4.5 كجم,صوص باربكيو
Ilou,195.09,-,100 قطعة,25 جرام,صوص باربكيو كب
Ilou,534.58,-,جالون,10 كجم,مايونيز ساندوتش
Ilou,299.97,-,جالون,5.5 كجم,صوص سويت شيللي
Ilou,193.59,-,100 قطعة,25 جرام,صوص سويت شيللي كب
Ilou,572.97,-,جالون,5 كجم,صوص تكساس برجر
Ilou,402.91,-,جالون,5 كجم,صوص نيويورك برجر
Ilou,411.4,-,جالون,5 كجم,صوص ألف جزيرة
